 sigx=0.6 ,sigy=0.7, theta=0 h_m=0.0, v_m=0.0, h_psnr=25.224715 
 sigx=0.6 ,sigy=0.8, theta=0 h_m=0.0, v_m=0.0, h_psnr=25.275495 
 sigx=0.6 ,sigy=0.9, theta=0 h_m=0.05, v_m=0.0, h_psnr=25.306919 
 sigx=0.6 ,sigy=1.0, theta=0 h_m=0.05, v_m=0.05, h_psnr=25.317417 
 sigx=0.6 ,sigy=1.1, theta=0 h_m=0.1, v_m=0.05, h_psnr=25.305679 
 sigx=0.6 ,sigy=1.2, theta=0 h_m=0.1, v_m=0.1, h_psnr=25.279410 
 sigx=0.6 ,sigy=1.3, theta=0 h_m=0.15, v_m=0.15, h_psnr=25.235472 
 sigx=0.6 ,sigy=1.4, theta=0 h_m=0.2, v_m=0.15, h_psnr=25.176597 
 sigx=0.6 ,sigy=1.5, theta=0 h_m=0.55, v_m=0.6, h_psnr=25.113164 
 sigx=0.6 ,sigy=1.6, theta=0 h_m=0.6, v_m=0.85, h_psnr=25.070634 
 sigx=0.6 ,sigy=1.7, theta=0 h_m=0.65, v_m=0.95, h_psnr=25.033038 
 sigx=0.6 ,sigy=1.8, theta=0 h_m=0.65, v_m=1.0, h_psnr=24.991795 
 sigx=0.6 ,sigy=1.9, theta=0 h_m=0.7, v_m=1.0, h_psnr=24.946198 
 sigx=0.6 ,sigy=2.0, theta=0 h_m=0.75, v_m=1.0, h_psnr=24.880317 
 sigx=0.7 ,sigy=0.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.894962 
 sigx=0.7 ,sigy=0.3, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.904203 
 sigx=0.7 ,sigy=0.4, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.982556 
 sigx=0.7 ,sigy=0.5, theta=0 h_m=0.0, v_m=0.0, h_psnr=25.110731 
 sigx=0.7 ,sigy=0.6, theta=0 h_m=0.0, v_m=0.0, h_psnr=25.212564 
 sigx=0.7 ,sigy=0.7, theta=0 h_m=0.05, v_m=0.0, h_psnr=25.282810 
 sigx=0.7 ,sigy=0.8, theta=0 h_m=0.05, v_m=0.0, h_psnr=25.332726 
 sigx=0.7 ,sigy=0.9, theta=0 h_m=0.1, v_m=0.0, h_psnr=25.358902 
 sigx=0.7 ,sigy=1.0, theta=0 h_m=0.1, v_m=0.0, h_psnr=25.363633 
 sigx=0.7 ,sigy=1.1, theta=0 h_m=0.15, v_m=0.1, h_psnr=25.351255 
 sigx=0.7 ,sigy=1.2, theta=0 h_m=0.2, v_m=0.1, h_psnr=25.321965 
 sigx=0.7 ,sigy=1.3, theta=0 h_m=0.25, v_m=0.15, h_psnr=25.276501 
 sigx=0.7 ,sigy=1.4, theta=0 h_m=0.55, v_m=0.5, h_psnr=25.225149 
 sigx=0.7 ,sigy=1.5, theta=0 h_m=0.6, v_m=0.7, h_psnr=25.181918 
 sigx=0.7 ,sigy=1.6, theta=0 h_m=0.65, v_m=0.9, h_psnr=25.146829 
 sigx=0.7 ,sigy=1.7, theta=0 h_m=0.7, v_m=0.95, h_psnr=25.112451 
 sigx=0.7 ,sigy=1.8, theta=0 h_m=0.7, v_m=1.0, h_psnr=25.079283 
 sigx=0.7 ,sigy=1.9, theta=0 h_m=0.75, v_m=1.0, h_psnr=25.030860 
 sigx=0.7 ,sigy=2.0, theta=0 h_m=0.75, v_m=1.0, h_psnr=24.976764 
 sigx=0.8 ,sigy=0.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.953338 
 sigx=0.8 ,sigy=0.3, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.961757 
 sigx=0.8 ,sigy=0.4, theta=0 h_m=0.0, v_m=0.0, h_psnr=25.035507 
 sigx=0.8 ,sigy=0.5, theta=0 h_m=0.0, v_m=0.0, h_psnr=25.158940 
 sigx=0.8 ,sigy=0.6, theta=0 h_m=0.05, v_m=0.0, h_psnr=25.256912 
 sigx=0.8 ,sigy=0.7, theta=0 h_m=0.1, v_m=0.0, h_psnr=25.322566 
 sigx=0.8 ,sigy=0.8, theta=0 h_m=0.15, v_m=0.0, h_psnr=25.366281 
 sigx=0.8 ,sigy=0.9, theta=0 h_m=0.15, v_m=0.0, h_psnr=25.392344 
 sigx=0.8 ,sigy=1.0, theta=0 h_m=0.25, v_m=0.05, h_psnr=25.395860 
 sigx=0.8 ,sigy=1.1, theta=0 h_m=0.25, v_m=0.05, h_psnr=25.381426 
 sigx=0.8 ,sigy=1.2, theta=0 h_m=0.4, v_m=0.2, h_psnr=25.353221 
 sigx=0.8 ,sigy=1.3, theta=0 h_m=0.55, v_m=0.35, h_psnr=25.319892 
 sigx=0.8 ,sigy=1.4, theta=0 h_m=0.65, v_m=0.6, h_psnr=25.281932 
 sigx=0.8 ,sigy=1.5, theta=0 h_m=0.65, v_m=0.75, h_psnr=25.245342 
 sigx=0.8 ,sigy=1.6, theta=0 h_m=0.7, v_m=0.9, h_psnr=25.217653 
 sigx=0.8 ,sigy=1.7, theta=0 h_m=0.7, v_m=0.95, h_psnr=25.186521 
 sigx=0.8 ,sigy=1.8, theta=0 h_m=0.75, v_m=1.0, h_psnr=25.154880 
 sigx=0.8 ,sigy=1.9, theta=0 h_m=0.75, v_m=1.0, h_psnr=25.115648 
 sigx=0.8 ,sigy=2.0, theta=0 h_m=0.8, v_m=1.0, h_psnr=25.049043 
 sigx=0.9 ,sigy=0.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.989866 
 sigx=0.9 ,sigy=0.3, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.999319 
 sigx=0.9 ,sigy=0.4, theta=0 h_m=0.0, v_m=0.0, h_psnr=25.069662 
 sigx=0.9 ,sigy=0.5, theta=0 h_m=0.1, v_m=0.0, h_psnr=25.187904 
 sigx=0.9 ,sigy=0.6, theta=0 h_m=0.15, v_m=0.0, h_psnr=25.283416 
 sigx=0.9 ,sigy=0.7, theta=0 h_m=0.2, v_m=0.0, h_psnr=25.348264 
 sigx=0.9 ,sigy=0.8, theta=0 h_m=0.25, v_m=0.0, h_psnr=25.392402 
 sigx=0.9 ,sigy=0.9, theta=0 h_m=0.35, v_m=0.0, h_psnr=25.416891 
 sigx=0.9 ,sigy=1.0, theta=0 h_m=0.4, v_m=0.05, h_psnr=25.420582 
 sigx=0.9 ,sigy=1.1, theta=0 h_m=0.55, v_m=0.15, h_psnr=25.409222 
 sigx=0.9 ,sigy=1.2, theta=0 h_m=0.6, v_m=0.35, h_psnr=25.392418 
 sigx=0.9 ,sigy=1.3, theta=0 h_m=0.65, v_m=0.45, h_psnr=25.367679 
 sigx=0.9 ,sigy=1.4, theta=0 h_m=0.7, v_m=0.6, h_psnr=25.339686 
 sigx=0.9 ,sigy=1.5, theta=0 h_m=0.7, v_m=0.8, h_psnr=25.311166 
 sigx=0.9 ,sigy=1.6, theta=0 h_m=0.75, v_m=0.85, h_psnr=25.283064 
 sigx=0.9 ,sigy=1.7, theta=0 h_m=0.75, v_m=0.95, h_psnr=25.259717 
 sigx=0.9 ,sigy=1.8, theta=0 h_m=0.75, v_m=1.0, h_psnr=25.232775 
 sigx=0.9 ,sigy=1.9, theta=0 h_m=0.8, v_m=1.0, h_psnr=25.187926 
 sigx=0.9 ,sigy=2.0, theta=0 h_m=0.8, v_m=1.0, h_psnr=25.142810 
 sigx=1.0 ,sigy=0.2, theta=0 h_m=0.05, v_m=0.0, h_psnr=25.011373 
 sigx=1.0 ,sigy=0.3, theta=0 h_m=0.05, v_m=0.0, h_psnr=25.018690 
 sigx=1.0 ,sigy=0.4, theta=0 h_m=0.15, v_m=0.0, h_psnr=25.087235 
 sigx=1.0 ,sigy=0.5, theta=0 h_m=0.2, v_m=0.0, h_psnr=25.206526 
 sigx=1.0 ,sigy=0.6, theta=0 h_m=0.25, v_m=0.0, h_psnr=25.300278 
 sigx=1.0 ,sigy=0.7, theta=0 h_m=0.35, v_m=0.0, h_psnr=25.364923 
 sigx=1.0 ,sigy=0.8, theta=0 h_m=0.45, v_m=0.0, h_psnr=25.409037 
 sigx=1.0 ,sigy=0.9, theta=0 h_m=0.5, v_m=0.0, h_psnr=25.437619 
 sigx=1.0 ,sigy=1.0, theta=0 h_m=0.6, v_m=0.1, h_psnr=25.446235 
 sigx=1.0 ,sigy=1.1, theta=0 h_m=0.65, v_m=0.25, h_psnr=25.445522 
 sigx=1.0 ,sigy=1.2, theta=0 h_m=0.7, v_m=0.4, h_psnr=25.433723 
 sigx=1.0 ,sigy=1.3, theta=0 h_m=0.7, v_m=0.5, h_psnr=25.414593 
 sigx=1.0 ,sigy=1.4, theta=0 h_m=0.75, v_m=0.65, h_psnr=25.391652 
 sigx=1.0 ,sigy=1.5, theta=0 h_m=0.75, v_m=0.8, h_psnr=25.369991 
 sigx=1.0 ,sigy=1.6, theta=0 h_m=0.75, v_m=0.9, h_psnr=25.348265 
 sigx=1.0 ,sigy=1.7, theta=0 h_m=0.75, v_m=1.0, h_psnr=25.321977 
 sigx=1.0 ,sigy=1.8, theta=0 h_m=0.8, v_m=1.0, h_psnr=25.299846 
 sigx=1.0 ,sigy=1.9, theta=0 h_m=0.8, v_m=1.0, h_psnr=25.270377 
 sigx=1.0 ,sigy=2.0, theta=0 h_m=0.8, v_m=1.0, h_psnr=25.212386 
 sigx=1.1 ,sigy=0.2, theta=0 h_m=0.2, v_m=0.0, h_psnr=25.014964 
