 sigx=1.2 ,sigy=0.4, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.680881 
 sigx=1.2 ,sigy=0.5, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.932289 
 sigx=1.2 ,sigy=0.6, theta=0 h_m=0.05, v_m=0.0, h_psnr=23.150085 
 sigx=1.2 ,sigy=0.7, theta=0 h_m=0.55, v_m=0.05, h_psnr=23.320312 
 sigx=1.2 ,sigy=0.8, theta=0 h_m=0.7, v_m=0.1, h_psnr=23.462966 
 sigx=1.2 ,sigy=0.9, theta=0 h_m=0.75, v_m=0.25, h_psnr=23.579451 
 sigx=1.2 ,sigy=1.0, theta=0 h_m=0.8, v_m=0.4, h_psnr=23.672149 
 sigx=1.2 ,sigy=1.1, theta=0 h_m=0.85, v_m=0.55, h_psnr=23.742858 
 sigx=1.2 ,sigy=1.2, theta=0 h_m=0.85, v_m=0.65, h_psnr=23.794069 
 sigx=1.2 ,sigy=1.3, theta=0 h_m=0.85, v_m=0.75, h_psnr=23.830626 
 sigx=1.2 ,sigy=1.4, theta=0 h_m=0.85, v_m=0.85, h_psnr=23.855062 
 sigx=1.2 ,sigy=1.5, theta=0 h_m=0.85, v_m=0.9, h_psnr=23.869568 
 sigx=1.2 ,sigy=1.6, theta=0 h_m=0.85, v_m=0.95, h_psnr=23.878090 
 sigx=1.2 ,sigy=1.7, theta=0 h_m=0.85, v_m=1.0, h_psnr=23.880151 
 sigx=1.2 ,sigy=1.8, theta=0 h_m=0.9, v_m=1.0, h_psnr=23.872468 
 sigx=1.2 ,sigy=1.9, theta=0 h_m=0.9, v_m=1.0, h_psnr=23.866930 
 sigx=1.2 ,sigy=2.0, theta=0 h_m=0.9, v_m=1.0, h_psnr=23.847284 
 sigx=1.3 ,sigy=0.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.523122 
 sigx=1.3 ,sigy=0.3, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.539753 
 sigx=1.3 ,sigy=0.4, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.683841 
 sigx=1.3 ,sigy=0.5, theta=0 h_m=0.1, v_m=0.0, h_psnr=22.933792 
 sigx=1.3 ,sigy=0.6, theta=0 h_m=0.6, v_m=0.0, h_psnr=23.153284 
 sigx=1.3 ,sigy=0.7, theta=0 h_m=0.7, v_m=0.0, h_psnr=23.331699 
 sigx=1.3 ,sigy=0.8, theta=0 h_m=0.75, v_m=0.15, h_psnr=23.475926 
 sigx=1.3 ,sigy=0.9, theta=0 h_m=0.8, v_m=0.3, h_psnr=23.595307 
 sigx=1.3 ,sigy=1.0, theta=0 h_m=0.85, v_m=0.45, h_psnr=23.691473 
 sigx=1.3 ,sigy=1.1, theta=0 h_m=0.85, v_m=0.6, h_psnr=23.762227 
 sigx=1.3 ,sigy=1.2, theta=0 h_m=0.9, v_m=0.65, h_psnr=23.814351 
 sigx=1.3 ,sigy=1.3, theta=0 h_m=0.9, v_m=0.7, h_psnr=23.853737 
 sigx=1.3 ,sigy=1.4, theta=0 h_m=0.9, v_m=0.8, h_psnr=23.878130 
 sigx=1.3 ,sigy=1.5, theta=0 h_m=0.9, v_m=0.85, h_psnr=23.894916 
 sigx=1.3 ,sigy=1.6, theta=0 h_m=0.9, v_m=0.9, h_psnr=23.904399 
 sigx=1.3 ,sigy=1.7, theta=0 h_m=0.9, v_m=0.95, h_psnr=23.909999 
 sigx=1.3 ,sigy=1.8, theta=0 h_m=0.9, v_m=1.0, h_psnr=23.911311 
 sigx=1.3 ,sigy=1.9, theta=0 h_m=0.9, v_m=1.0, h_psnr=23.902295 
 sigx=1.3 ,sigy=2.0, theta=0 h_m=0.9, v_m=1.0, h_psnr=23.878510 
 sigx=1.4 ,sigy=0.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.523178 
 sigx=1.4 ,sigy=0.3, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.538458 
 sigx=1.4 ,sigy=0.4, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.681069 
 sigx=1.4 ,sigy=0.5, theta=0 h_m=0.6, v_m=0.0, h_psnr=22.930485 
 sigx=1.4 ,sigy=0.6, theta=0 h_m=0.7, v_m=0.0, h_psnr=23.159866 
 sigx=1.4 ,sigy=0.7, theta=0 h_m=0.8, v_m=0.0, h_psnr=23.340500 
 sigx=1.4 ,sigy=0.8, theta=0 h_m=0.8, v_m=0.1, h_psnr=23.487951 
 sigx=1.4 ,sigy=0.9, theta=0 h_m=0.85, v_m=0.3, h_psnr=23.608993 
 sigx=1.4 ,sigy=1.0, theta=0 h_m=0.9, v_m=0.45, h_psnr=23.706986 
 sigx=1.4 ,sigy=1.1, theta=0 h_m=0.9, v_m=0.55, h_psnr=23.781169 
 sigx=1.4 ,sigy=1.2, theta=0 h_m=0.9, v_m=0.65, h_psnr=23.835446 
 sigx=1.4 ,sigy=1.3, theta=0 h_m=0.9, v_m=0.75, h_psnr=23.873268 
 sigx=1.4 ,sigy=1.4, theta=0 h_m=0.9, v_m=0.8, h_psnr=23.899150 
 sigx=1.4 ,sigy=1.5, theta=0 h_m=0.9, v_m=0.9, h_psnr=23.915984 
 sigx=1.4 ,sigy=1.6, theta=0 h_m=0.9, v_m=0.95, h_psnr=23.926871 
 sigx=1.4 ,sigy=1.7, theta=0 h_m=0.9, v_m=1.0, h_psnr=23.932693 
 sigx=1.4 ,sigy=1.8, theta=0 h_m=0.9, v_m=1.0, h_psnr=23.936215 
 sigx=1.4 ,sigy=1.9, theta=0 h_m=0.9, v_m=1.0, h_psnr=23.922616 
 sigx=1.4 ,sigy=2.0, theta=0 h_m=0.95, v_m=1.0, h_psnr=23.911898 
 sigx=1.5 ,sigy=0.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.514450 
 sigx=1.5 ,sigy=0.3, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.530290 
 sigx=1.5 ,sigy=0.4, theta=0 h_m=0.15, v_m=0.0, h_psnr=22.672630 
 sigx=1.5 ,sigy=0.5, theta=0 h_m=0.7, v_m=0.0, h_psnr=22.931133 
 sigx=1.5 ,sigy=0.6, theta=0 h_m=0.8, v_m=0.0, h_psnr=23.164698 
 sigx=1.5 ,sigy=0.7, theta=0 h_m=0.85, v_m=0.1, h_psnr=23.345796 
 sigx=1.5 ,sigy=0.8, theta=0 h_m=0.85, v_m=0.15, h_psnr=23.495013 
 sigx=1.5 ,sigy=0.9, theta=0 h_m=0.9, v_m=0.3, h_psnr=23.618619 
 sigx=1.5 ,sigy=1.0, theta=0 h_m=0.9, v_m=0.45, h_psnr=23.716634 
 sigx=1.5 ,sigy=1.1, theta=0 h_m=0.95, v_m=0.5, h_psnr=23.790645 
 sigx=1.5 ,sigy=1.2, theta=0 h_m=0.95, v_m=0.6, h_psnr=23.847137 
 sigx=1.5 ,sigy=1.3, theta=0 h_m=0.95, v_m=0.7, h_psnr=23.886137 
 sigx=1.5 ,sigy=1.4, theta=0 h_m=0.95, v_m=0.75, h_psnr=23.913524 
 sigx=1.5 ,sigy=1.5, theta=0 h_m=0.95, v_m=0.8, h_psnr=23.931032 
 sigx=1.5 ,sigy=1.6, theta=0 h_m=0.95, v_m=0.85, h_psnr=23.941657 
 sigx=1.5 ,sigy=1.7, theta=0 h_m=0.95, v_m=0.9, h_psnr=23.948511 
 sigx=1.5 ,sigy=1.8, theta=0 h_m=0.95, v_m=0.95, h_psnr=23.953544 
 sigx=1.5 ,sigy=1.9, theta=0 h_m=0.95, v_m=1.0, h_psnr=23.955896 
 sigx=1.5 ,sigy=2.0, theta=0 h_m=0.95, v_m=1.0, h_psnr=23.946062 
 sigx=1.6 ,sigy=0.2, theta=0 h_m=0.05, v_m=0.0, h_psnr=22.504406 
 sigx=1.6 ,sigy=0.3, theta=0 h_m=0.45, v_m=0.0, h_psnr=22.519978 
 sigx=1.6 ,sigy=0.4, theta=0 h_m=0.65, v_m=0.0, h_psnr=22.667619 
